epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1119.21,1.2321,2.47549,0.01546,0.4833,0.23413,0.20178,0.14844,1.26757,1.45149,0.02234,0.00999587,0.00333196,0.00999587,0.00333196,0.00999587,0.00333196,0.00999587,0.00333196
2,2272.62,1.28175,0.86517,0.01646,0.47991,0.2546,0.23755,0.16507,1.30904,0.67342,0.02397,0.0197979,0.0065993,0.0197979,0.0065993,0.0197979,0.0065993,0.0197979,0.0065993
3,3228.4,1.37185,0.80892,0.01781,0.50019,0.24581,0.22123,0.15425,1.35998,0.71917,0.02442,0.029402,0.00980065,0.029402,0.00980065,0.029402,0.00980065,0.029402,0.00980065
4,4159.07,1.39967,0.80205,0.01828,0.70509,0.23464,0.2592,0.17748,1.29407,0.62886,0.02331,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,5132.58,1.36412,0.75087,0.01731,0.5614,0.30454,0.29446,0.20214,1.24145,0.57811,0.02172,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,6139.24,1.32688,0.70805,0.01663,0.56318,0.32337,0.31213,0.21791,1.19163,0.52395,0.0203,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,7106.79,1.29502,0.6917,0.01617,0.53986,0.3345,0.32843,0.22898,1.15247,0.51393,0.01939,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,7987.93,1.27726,0.6708,0.01575,0.38992,0.36381,0.34752,0.24485,1.13677,0.48642,0.01894,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,8921.85,1.26978,0.66264,0.01553,0.48096,0.36199,0.35789,0.25114,1.12416,0.46296,0.01872,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,9831.88,1.25072,0.64374,0.01534,0.43557,0.41184,0.36685,0.25892,1.10885,0.44623,0.01859,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,10767.4,1.23932,0.63602,0.01512,0.54055,0.38408,0.38459,0.27328,1.09042,0.43279,0.01806,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
